"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"105","Patrick Ricard (BAL)","7","16","2.3","5","0","0","11","13","74","6.7","0","0","13","20.0","1.5","0.1%"
"106","Royce Freeman (FA)","41","117","2.9","11","0","0","6","8","33","5.5","0","1","5","19.0","3.8","1.0%"
"107","Benny Snell Jr. (FA)","20","90","4.5","16","0","1","2","2","17","8.5","0","0","9","18.7","2.1","2.0%"
"108","Zander Horvath (LAC)","4","8","2.0","3","0","0","5","8","8","1.6","2","0","8","18.6","2.3","0.1%"
"109","Keaontay Ingram (ARI)","27","60","2.2","13","0","1","4","5","21","5.3","0","0","11","18.1","1.6","1.5%"
"110","Ronald Jones II (DAL)","17","70","4.1","13","0","1","1","1","22","22.0","0","0","5","16.2","3.2","1.9%"
"111","Phillip Lindsay (FA)","15","49","3.3","15","0","0","6","8","19","3.2","0","0","3","14.8","4.9","0.0%"
"112","Jordan Wilkins (FA)","13","58","4.5","9","0","0","6","8","29","4.8","0","0","4","14.7","3.7","0.0%"
"113","Salvon Ahmed (MIA)","12","64","5.3","11","0","1","1","1","8","8.0","0","0","7","14.2","2.0","0.1%"
"114","Chris Evans (CIN)","0","0","0","0","0","0","3","4","38","12.7","1","0","10","12.8","1.3","0.8%"
"115","Kene Nwangwu (MIN)","9","14","1.6","8","0","0","2","2","21","10.5","0","0","14","11.5","0.8","0.9%"
"116","Kevin Harris (NE)","18","52","2.9","14","0","1","0","0","0","0","0","0","5","11.2","2.2","0.4%"
"117","Darrynton Evans (FA)","14","64","4.6","21","1","0","1","1","33","33.0","0","0","3","10.7","3.6","0.0%"
"118","Tony Jones Jr. (DEN)","10","24","2.4","7","0","0","5","8","30","6.0","0","0","3","10.4","3.5","0.4%"
"119","Ty Montgomery (NE)","2","-2","-1.0","0","0","0","3","4","15","5.0","1","0","1","10.3","10.3","0.5%"
"120","Snoop Conner (JAC)","12","42","3.5","8","0","1","0","0","0","0","0","0","5","10.2","2.0","0.1%"
"121","Ke'Shawn Vaughn (TB)","17","53","3.1","12","0","0","3","4","19","6.3","0","0","9","10.2","1.1","0.4%"
"122","Ronnie Rivers (LAR)","9","21","2.3","5","0","0","5","5","29","5.8","0","0","2","10.0","5.0","0.1%"
"123","Tyrion Davis-Price (SF)","34","99","2.9","20","1","0","0","2","0","0","0","0","5","9.9","2.0","0.7%"
"124","Myles Gaskin (MIA)","10","26","2.6","10","0","0","4","6","28","7.0","0","0","2","9.4","4.7","0.1%"
"125","Tyler Badie (DEN)","1","0","0.0","0","0","0","1","1","24","24.0","1","0","1","9.4","9.4","0.1%"
"126","David Johnson (FA)","12","24","2.0","5","0","0","4","4","47","11.8","0","1","4","9.1","2.3","0.0%"
"127","Isaiah Spiller (LAC)","18","41","2.3","11","0","0","3","3","13","4.3","0","0","5","8.4","1.7","2.1%"
"128","Julius Chestnut (TEN)","9","12","1.3","5","0","0","3","3","41","13.7","0","0","6","8.3","1.4","0.1%"
"129","Trayveon Williams (CIN)","6","30","5.0","16","0","0","2","3","30","15.0","0","0","9","8.0","0.9","0.7%"
"130","Jaret Patterson (WAS)","17","78","4.6","14","0","0","0","1","0","0","0","0","2","7.8","3.9","0.1%"
"131","Spencer Brown (CAR)","9","43","4.8","7","0","0","2","4","10","5.0","0","0","2","7.3","3.7","0.0%"
