,First,Last,Year,Tm,Pos,Age,Player,Targets,Receptions,RecYards,RecTD,Ctch%,RushAtt,RushYards,RushTD,Fumbles,Experience,FantasyPoints
292,Tyler,Eifert,2019,CIN,TE,29.0,Tyler Eifert,16.2,12.8,152.4,0.8,79.12,0.0,0.0,0.0,0.0,7.0,104.6
293,Cole,Kmet,2022,CHI,TE,23.0,Cole Kmet,77.32,49.76,493.92,0.64,64.212,1.0,-0.96,0.0,0.32,3.0,147.3
294,Dalton,Schultz,2020,DAL,TE,24.0,Dalton Schultz,5.837209302325581,3.813953488372093,34.13953488372093,0.0,55.26976744186047,0.0,0.0,0.0,0.0,3.0,147.0
295,Tyler,Higbee,2021,LAR,TE,28.0,Tyler Higbee,69.66666666666667,52.333333333333336,592.0,4.333333333333333,74.7,0.6666666666666666,0.6666666666666666,0.0,0.0,6.0,147.0
296,Dallas,Clark,2005,IND,TE,26.0,Dallas Clark,39.75,26.0,402.25,4.0,65.325,0.0,0.0,0.0,1.5,3.0,109.8
297,Dwayne,Allen,2016,IND,TE,26.0,Dwayne Allen,36.0,20.33333333333333,204.33333333333331,3.333333333333333,56.133333333333326,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,5.0,111.6
298,Eric,Johnson,2007,NOR,TE,31.0,Eric Johnson,49.0,34.0,292.0,2.0,69.4,0.0,0.0,0.0,0.0,5.0,97.8
299,Taysom,Hill,2022,NOR,TE,32.0,Taysom Hill,8.4,5.6,70.4,0.4,66.7,76.8,407.2,6.2,5.2,6.0,145.8
300,Joel,Dreessen,2010,HOU,TE,28.0,Joel Dreessen,31.666666666666668,21.0,239.0,0.6666666666666666,66.03333333333335,0.0,0.0,0.0,0.3333333333333333,5.0,109.8
301,Anthony,Fasano,2012,MIA,TE,28.0,Anthony Fasano,56.0,34.333333333333336,476.6666666666667,4.666666666666667,61.2,0.0,0.0,0.0,0.0,7.0,104.2
302,Heath,Miller,2010,PIT,TE,28.0,Heath Miller,88.26086956521739,67.47826086956522,705.304347826087,5.086956521739131,76.1086956521739,0.0,0.0,0.0,1.6956521739130437,6.0,103.2
303,Hunter,Henry,2020,LAC,TE,26.0,Hunter Henry,76.0,55.0,652.0,5.0,72.4,0.0,0.0,0.0,1.0,5.0,145.0
304,TJ,Hockenson,2021,DET,TE,24.0,T.J. Hockenson,89.54545454545455,57.45454545454545,625.9090909090909,4.909090909090909,63.0,0.7272727272727273,0.0,0.0,0.7272727272727273,3.0,145.0
305,Kellen,Winslow,2008,CLE,TE,25.0,Kellen Winslow,138.66666666666666,84.33333333333333,1029.0,4.333333333333333,61.66666666666666,0.0,0.0,0.0,1.6666666666666667,4.0,101.8
306,Jordan,Reed,2014,WAS,TE,24.0,Jordan Reed,59.0,45.0,499.0,3.0,76.3,1.0,18.0,0.0,0.0,2.0,94.5
307,Jeremy,Shockey,2008,NOR,TE,28.0,Jeremy Shockey,100.67441860465117,60.13953488372093,620.3953488372093,4.395348837209302,59.93953488372093,0.6511627906976745,3.9069767441860463,0.0,0.0,7.0,94.3
308,Steve,Heiden,2005,CLE,TE,29.0,Steve Heiden,39.17142857142857,25.428571428571427,247.65714285714284,3.7142857142857135,64.48857142857143,0.0,0.0,0.0,0.7428571428571429,7.0,101.1
309,Darren,Fells,2019,HOU,TE,33.0,Darren Fells,16.666666666666668,13.0,137.0,3.0,82.93333333333334,0.0,0.0,0.0,0.0,6.0,110.1
310,Jimmy,Graham,2020,CHI,TE,34.0,Jimmy Graham,69.66666666666667,43.66666666666666,510.0,2.6666666666666665,62.79999999999999,0.0,0.0,0.0,0.6666666666666666,11.0,144.0
311,Marcedes,Lewis,2008,JAX,TE,24.0,Marcedes Lewis,45.51063829787234,29.34042553191489,306.4255319148936,1.680851063829787,63.94255319148937,0.0,0.0,0.0,0.0,3.0,101.9
312,Dalton,Schultz,2022,DAL,TE,26.0,Dalton Schultz,99.2,73.2,746.24,6.72,73.656,0.0,0.0,0.0,0.32,5.0,142.7
313,Jeff,King,2007,CAR,TE,24.0,Jeff King,4.0,1.0,1.0,1.0,25.0,0.0,0.0,0.0,0.0,2.0,96.6
314,Eric,Ebron,2020,PIT,TE,27.0,Eric Ebron,76.42105263157895,45.73684210526316,532.8947368421053,7.2105263157894735,59.76842105263157,1.263157894736842,-3.3684210526315788,0.4210526315789473,0.4210526315789473,7.0,142.0
315,David,Njoku,2022,CLE,TE,26.0,David Njoku,46.06666666666667,31.08888888888889,399.31111111111113,3.422222222222222,67.20666666666668,0.7111111111111111,0.7111111111111111,0.0,0.0,6.0,142.0
316,Will,Tye,2016,NYG,TE,25.0,Will Tye,62.0,42.0,464.0,3.0,67.7,0.0,0.0,0.0,1.0,2.0,93.5
317,Jeremy,Shockey,2011,CAR,TE,31.0,Jeremy Shockey,61.66666666666666,43.333333333333336,461.6666666666667,3.0,70.2,0.0,0.0,0.0,0.0,10.0,104.5
318,Jesse,James,2017,PIT,TE,23.0,Jesse James,50.2,32.8,281.6,2.6,66.53999999999999,0.0,0.0,0.0,0.0,3.0,98.2
319,Dallas,Goedert,2022,PHI,TE,27.0,Dallas Goedert,73.04878048780488,53.31707317073171,747.9024390243902,3.731707317073171,72.9219512195122,0.0,0.0,0.0,0.7317073170731707,5.0,141.2
320,Evan,Engram,2020,NYG,TE,26.0,Evan Engram,66.37037037037037,44.407407407407405,511.8148148148149,3.0,66.98148148148148,3.0,18.814814814814813,0.0,0.0,4.0,141.0
321,Ladarius,Green,2015,SDG,TE,25.0,Ladarius Green,26.818181818181817,18.272727272727277,280.54545454545456,1.0909090909090908,68.98181818181818,0.0,0.0,0.0,0.0,4.0,103.9
322,Jeremy,Shockey,2010,NOR,TE,30.0,Jeremy Shockey,68.57894736842105,48.63157894736842,541.8421052631579,2.0526315789473686,70.90526315789474,0.0,0.0,0.0,0.631578947368421,9.0,99.8
323,Kevin,Boss,2008,NYG,TE,24.0,Kevin Boss,14.0,9.0,118.0,2.0,64.3,0.0,0.0,0.0,0.0,2.0,107.4
324,Tony,Scheffler,2012,DET,TE,29.0,Tony Scheffler,52.66666666666666,32.333333333333336,357.3333333333333,4.333333333333333,61.16666666666666,0.6666666666666666,3.333333333333333,0.0,1.0,7.0,98.4
325,Jonnu,Smith,2020,TEN,TE,25.0,Jonnu Smith,39.95555555555556,30.666666666666668,386.7111111111111,3.0,75.80222222222223,2.844444444444445,55.46666666666667,0.0,0.2888888888888888,4.0,140.0
326,Jonnu,Smith,2019,TEN,TE,24.0,Jonnu Smith,30.0,19.23809523809524,219.52380952380952,2.619047619047619,64.14761904761905,0.0,0.0,0.0,0.6190476190476191,3.0,104.7
327,Gerald,Everett,2022,LAC,TE,28.0,Gerald Everett,62.65217391304348,45.56521739130435,456.7826086956522,2.9565217391304346,72.68695652173913,2.3043478260869565,13.73913043478261,0.3478260869565217,1.6521739130434785,6.0,139.5
328,Anthony,Fasano,2011,MIA,TE,27.0,Anthony Fasano,57.77272727272727,36.45454545454545,467.8636363636364,3.363636363636364,62.93181818181818,0.0,0.0,0.0,0.6363636363636364,6.0,107.1
329,Randy,McMichael,2007,STL,TE,28.0,Randy McMichael,98.66666666666669,61.333333333333336,620.6666666666666,3.6666666666666665,62.29999999999999,0.0,0.0,0.0,0.3333333333333333,6.0,99.9
330,Chris,Baker,2007,NYJ,TE,28.0,Chris Baker,41.0,28.4,293.8,3.4,69.52000000000001,0.0,0.0,0.0,0.2,6.0,97.9
331,Julius,Thomas,2017,MIA,TE,29.0,Julius Thomas,62.6,36.4,350.6,4.4,58.28,0.0,0.0,0.0,0.0,7.0,97.8
332,Jimmy,Graham,2019,GNB,TE,33.0,Jimmy Graham,91.33333333333331,55.66666666666666,597.3333333333334,4.666666666666667,61.0,0.0,0.0,0.0,0.0,10.0,100.7
333,Dennis,Pitta,2011,BAL,TE,26.0,Dennis Pitta,5.0,1.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,2.0,98.5
334,Donald,Lee,2008,GNB,TE,28.0,Donald Lee,49.0,35.333333333333336,433.3333333333333,4.0,66.66666666666667,0.0,0.0,0.0,0.6666666666666666,6.0,99.3
335,Bo,Scaife,2007,TEN,TE,26.0,Bo Scaife,56.0,31.90909090909091,334.72727272727275,2.0,57.0,0.6363636363636364,8.272727272727273,0.6363636363636364,0.6363636363636364,3.0,92.1
336,Bo,Scaife,2009,TEN,TE,28.0,Bo Scaife,82.0,54.0,514.3333333333334,1.6666666666666667,65.66666666666667,0.0,0.0,0.0,1.3333333333333333,5.0,93.0
337,Tyler,Conklin,2021,MIN,TE,26.0,Tyler Conklin,20.8936170212766,15.48936170212766,150.59574468085106,0.6808510638297872,75.30212765957447,0.0,0.0,0.0,0.6808510638297872,4.0,138.0
338,Heath,Miller,2006,PIT,TE,24.0,Heath Miller,52.0,39.0,459.0,6.0,75.0,0.0,0.0,0.0,0.0,2.0,103.3
339,Jermaine,Wiggins,2006,MIN,TE,31.0,Jermaine Wiggins,92.0,69.6086956521739,609.695652173913,1.9130434782608696,75.66956521739131,0.0,0.0,0.0,0.3043478260869565,7.0,90.6
340,Dawson,Knox,2022,BUF,TE,25.0,Dawson Knox,63.285714285714285,41.85714285714285,501.57142857142856,7.285714285714286,64.85714285714286,0.0,2.857142857142857,0.0,0.5714285714285714,4.0,135.7
341,Owen,Daniels,2010,HOU,TE,28.0,Owen Daniels,79.5,55.0,690.5,3.5,69.15,0.0,0.0,0.0,1.5,5.0,97.1
342,Jacob,Hollister,2019,SEA,TE,26.0,Jacob Hollister,7.903225806451613,4.0,47.16129032258065,0.0,58.903225806451616,0.4838709677419355,2.419354838709677,0.0,0.0,3.0,93.9
343,Juwan,Johnson,2022,NOR,TE,26.0,Juwan Johnson,19.6,11.2,135.0,3.2,55.28,0.0,0.0,0.0,0.0,3.0,134.8
344,Zach,Miller,2013,SEA,TE,28.0,Zach Miller,50.12765957446808,33.85106382978724,343.97872340425533,2.042553191489361,66.94468085106384,0.0,0.0,0.0,0.6808510638297872,7.0,101.7
345,Darren,Waller,2021,LVR,TE,29.0,Darren Waller,135.66666666666666,101.33333333333331,1179.0,7.0,74.83333333333333,0.6666666666666666,1.6666666666666667,0.0,1.6666666666666667,6.0,134.0
346,Brandon,Pettigrew,2013,DET,TE,28.0,Brandon Pettigrew,110.72727272727272,67.72727272727273,643.3636363636364,3.727272727272727,60.74545454545455,0.0,0.0,0.0,2.5454545454545454,5.0,92.6
347,Daniel,Fells,2010,STL,TE,27.0,Daniel Fells,27.8,16.8,215.4,2.1,61.08,0.0,0.0,0.0,0.7,3.0,92.1
