,First,Last,Year,Tm,Pos,Age,Player,Targets,Receptions,RecYards,RecTD,Ctch%,RushAtt,RushYards,RushTD,Fumbles,Experience,FantasyPoints
337,Jeremy,Hill,2016,CIN,RB,24.0,Jeremy Hill,23.33333333333333,19.0,124.33333333333331,0.6666666666666666,80.73333333333333,222.66666666666663,904.0,10.333333333333334,3.6666666666666665,3.0,176.3
338,Jerick,McKinnon,2017,MIN,RB,25.0,Jerick McKinnon,44.65217391304348,35.34782608695652,226.4782608695652,1.6521739130434785,78.07391304347826,121.78260869565216,445.7826086956522,2.0,0.0,4.0,176.1
339,Ray,Rice,2013,BAL,RB,26.0,Ray Rice,90.0,66.0,553.3333333333334,1.6666666666666667,73.36666666666666,268.3333333333333,1216.6666666666667,10.0,1.3333333333333333,6.0,176.1
340,Chris,Wells,2011,ARI,RB,23.0,Beanie Wells,11.047619047619047,7.666666666666667,100.28571428571428,0.0,67.26190476190476,138.85714285714286,547.8571428571429,3.9047619047619047,2.142857142857143,3.0,175.9
341,Michael,Turner,2012,ATL,RB,30.0,Michael Turner,24.0,15.333333333333334,140.33333333333334,0.0,63.6,312.0,1350.3333333333333,11.333333333333334,2.6666666666666665,9.0,175.8
342,DeShaun,Foster,2005,CAR,RB,25.0,DeShaun Foster,25.90909090909091,19.818181818181817,159.36363636363637,1.2727272727272727,80.00909090909092,93.36363636363636,365.7272727272728,0.7272727272727273,1.9090909090909087,3.0,175.10000000000005
343,Rashad,Jennings,2013,OAK,RB,28.0,Rashad Jennings,26.0,19.0,130.0,0.0,73.1,101.0,283.0,2.0,3.0,4.0,174.5
344,LenDale,White,2007,TEN,RB,23.0,LenDale White,20.0,14.0,60.0,0.0,70.0,61.0,244.0,0.0,0.0,2.0,174.4
345,Marlon,Mack,2018,IND,RB,22.0,Marlon Mack,33.0,21.0,225.0,1.0,63.6,93.0,358.0,3.0,1.0,2.0,174.1
346,Myles,Gaskin,2021,MIA,RB,24.0,Myles Gaskin,37.92592592592592,32.18518518518518,300.6296296296296,1.4814814814814814,79.7074074074074,114.51851851851852,467.0740740740741,2.4814814814814814,1.4814814814814814,3.0,174.0
347,Cadillac,Williams,2009,TAM,RB,27.0,Cadillac Williams,6.5,6.0,36.5,0.0,90.0,60.75,226.75,3.75,1.25,5.0,174.0
348,James,Robinson,2021,JAX,RB,23.0,James Robinson,60.0,49.0,344.0,3.0,81.7,240.0,1070.0,7.0,3.0,2.0,174.0
349,Ryan,Grant,2008,GNB,RB,26.0,Ryan Grant,37.0,30.0,145.0,0.0,81.1,188.0,956.0,8.0,1.0,2.0,173.9
350,BenJarvus,Green-Ellis,2012,CIN,RB,27.0,BenJarvus Green-Ellis,14.0,10.0,134.33333333333334,0.0,71.13333333333334,197.0,780.6666666666666,11.666666666666666,0.0,5.0,173.8
351,Thomas,Jones,2007,NYJ,RB,29.0,Thomas Jones,44.4468085106383,32.808510638297875,150.48936170212767,0.0,73.44042553191488,301.74468085106383,1249.893617021277,6.957446808510638,1.319148936170213,8.0,173.60000000000005
352,Frank,Gore,2017,IND,RB,34.0,Frank Gore,50.66666666666666,36.66666666666666,273.6666666666667,3.0,73.46666666666667,262.0,1005.6666666666666,4.666666666666667,2.6666666666666665,13.0,173.6
353,Darren,Sproles,2013,NOR,RB,30.0,Darren Sproles,106.66666666666669,79.19047619047619,683.3809523809524,7.0,74.15714285714286,62.85714285714285,380.7619047619048,1.380952380952381,0.0,8.0,173.4
354,C.J.,Anderson,2017,DEN,RB,26.0,C.J. Anderson,30.20689655172414,20.655172413793103,156.44827586206895,0.4827586206896552,68.09655172413794,131.72413793103448,583.3793103448276,4.517241379310345,1.0344827586206895,5.0,173.1
355,T.J.,Yeldon,2018,JAX,RB,25.0,T.J. Yeldon,52.57142857142857,38.57142857142857,261.7142857142857,0.4285714285714285,73.32857142857142,83.71428571428571,343.85714285714283,1.5714285714285714,2.0,4.0,173.1
356,Lamar,Miller,2018,HOU,RB,27.0,Lamar Miller,43.17391304347826,34.47826086956522,284.69565217391306,2.391304347826087,79.84782608695652,247.1304347826087,944.304347826087,3.608695652173913,1.3043478260869563,7.0,172.6
357,LenDale,White,2008,TEN,RB,24.0,LenDale White,27.822222222222223,18.266666666666666,98.4,0.0,66.08888888888889,233.0888888888889,859.8222222222222,4.977777777777778,3.555555555555556,3.0,171.89999999999995
358,DeMarco,Murray,2017,TEN,RB,29.0,DeMarco Murray,63.17021276595744,50.12765957446808,359.4468085106383,2.3617021276595747,79.38723404255319,261.0851063829787,1100.2978723404256,8.042553191489361,2.6808510638297878,7.0,171.5
359,Brandon,Jackson,2010,GNB,RB,25.0,Brandon Jackson,30.56756756756757,24.16216216216216,186.2972972972973,0.6486486486486487,79.42972972972971,39.810810810810814,159.13513513513513,1.648648648648649,1.0,4.0,171.5
360,Aaron,Jones,2018,GNB,RB,24.0,Aaron Jones,18.0,9.0,22.0,0.0,50.0,81.0,448.0,4.0,0.0,2.0,171.4
361,Leon,Washington,2008,NYJ,RB,26.0,Leon Washington,44.333333333333336,32.333333333333336,232.0,0.0,73.93333333333332,97.66666666666669,452.0,3.333333333333333,3.6666666666666665,3.0,171.3
362,Terrance,West,2016,BAL,RB,25.0,Terrance West,8.733333333333333,7.266666666666667,41.06666666666667,0.4666666666666667,82.14666666666666,112.86666666666666,437.26666666666665,1.8666666666666667,2.0,3.0,171.0
363,Darren,Sproles,2009,SDG,RB,26.0,Darren Sproles,26.97872340425532,22.93617021276596,242.74468085106383,3.404255319148936,84.66170212765957,53.340425531914896,277.02127659574467,1.319148936170213,2.3617021276595747,4.0,171.0
364,Alex,Collins,2017,BAL,RB,23.0,Alex Collins,11.0,11.0,84.0,0.0,100.0,31.0,125.0,1.0,2.0,2.0,171.0
365,Warrick,Dunn,2008,TAM,RB,33.0,Warrick Dunn,48.66666666666666,32.0,215.33333333333331,0.3333333333333333,68.0,246.66666666666663,860.0,4.0,1.6666666666666667,12.0,170.6
366,Miles,Sanders,2020,PHI,RB,23.0,Miles Sanders,63.0,50.0,509.0,3.0,79.4,179.0,818.0,3.0,2.0,2.0,170.0
367,Brandon,Jacobs,2007,NYG,RB,25.0,Brandon Jacobs,9.130434782608695,7.173913043478261,97.17391304347828,0.0,51.26086956521739,75.82608695652173,310.30434782608694,8.304347826086957,1.6521739130434785,3.0,169.3
368,Austin,Ekeler,2018,LAC,RB,23.0,Austin Ekeler,35.0,27.0,279.0,3.0,77.1,47.0,260.0,2.0,2.0,2.0,168.8
369,Reggie,Bush,2008,NOR,RB,23.0,Reggie Bush,107.2,79.0,547.0,2.0,73.78,156.2,574.6,4.8,5.6,3.0,168.4
370,Raheem,Mostert,2022,MIA,RB,30.0,Raheem Mostert,15.2,12.8,124.8,0.8,67.36,83.6,420.8,1.6,0.8,8.0,168.3
371,Jeremy,Hill,2015,CIN,RB,23.0,Jeremy Hill,32.0,27.0,215.0,0.0,84.4,222.0,1124.0,9.0,5.0,2.0,168.3
372,Ronnie,Brown,2007,MIA,RB,26.0,Ronnie Brown,41.29268292682927,32.63414634146341,259.9024390243902,0.3658536585365853,79.95853658536585,228.5609756097561,971.0487804878048,4.634146341463414,4.0,3.0,168.10000000000005
373,Chase,Edmonds,2020,ARI,RB,24.0,Chase Edmonds,21.761904761904763,15.047619047619047,104.23809523809524,0.6190476190476191,68.4904761904762,60.0,266.8095238095238,3.238095238095238,0.3809523809523809,3.0,168.0
374,Tevin,Coleman,2017,ATL,RB,24.0,Tevin Coleman,30.84210526315789,21.84210526315789,292.4736842105263,2.0526315789473686,58.77368421052632,108.21052631578948,479.578947368421,5.789473684210527,1.631578947368421,3.0,167.7
375,AJ,Dillon,2022,GNB,RB,24.0,AJ Dillon,28.444444444444443,26.177777777777777,241.62222222222223,1.511111111111111,93.88,152.53333333333333,665.8666666666667,4.266666666666667,1.511111111111111,3.0,167.6
376,Mewelde,Moore,2008,PIT,RB,26.0,Mewelde Moore,29.6,22.0,216.0,0.4,74.67999999999999,21.6,120.2,0.0,1.8,5.0,166.8
377,Tatum,Bell,2005,DEN,RB,24.0,Tatum Bell,7.0,5.0,80.0,0.0,71.4,75.0,396.0,3.0,1.0,2.0,166.5
378,Ronald,Jones,2019,TAM,RB,22.0,Ronald Jones,9.0,7.0,33.0,0.0,77.8,23.0,44.0,1.0,0.0,2.0,166.3
379,James,Starks,2015,GNB,RB,29.0,James Starks,24.377777777777776,15.688888888888888,125.26666666666668,0.2888888888888888,66.37555555555556,86.15555555555555,379.22222222222223,2.2888888888888888,1.0,6.0,166.3
380,Javorius,Allen,2017,BAL,RB,26.0,Javorius Allen,33.0,24.0,184.0,1.0,73.8,73.0,274.0,0.5,1.0,3.0,166.1
381,Justin,Forsett,2009,SEA,RB,24.0,Justin Forsett,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,165.9
