"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"226","Malik Taylor (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"227","Kristian Wilkerson (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"228","Trinity Benson (DET)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"229","Jaylon Moore (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"230","Scotty Washington (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"231","Alex Bachman (HOU)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"232","Joe Reed (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"233","John Hightower (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"234","Charleston Rambo (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"235","Trishton Jackson (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"236","Binjimen Victor (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"237","Lynn Bowden Jr. (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"238","Darrius Shepherd (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"239","Tarik Black (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"240","Easop Winston Jr. (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"241","Marquez Stevenson (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"242","Cody Thompson (SEA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"243","Keelan Doss (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"244","Gary Jennings Jr. (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"245","Reggie Roberson Jr. (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
